order,family,genus,species,common.name,ag.presence,ag.origin,ag.type,env,fertilization,mating,care,spawning
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_baerii,siberian sturgeon,0,n/a,n/a,F,E    ,NA,n/a,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_brevirostrum,shortnose sturgeon,0,n/a,n/a,"F,M",E,C,n/a,S
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_fulvescens,Lake sturgeon,0,n/a,n/a,"F,M",E,C,n/a,G
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_gueldenstaedtii,russian sturgeon,0,n/a,n/a,"F,M",E,NA,n/a,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_medirostris,green sturgeon,0,n/a,n/a,"F,M",E,M,n/a,P  
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_nudiventris,ship sturgeon,0,n/a,n/a,"F,M",E,A,n/a,P
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_oxyrinchus,atlantic sturgeon,0,n/a,n/a,"F,M",E,C,n/a,G
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_persicus,persian sturgeon,0,n/a,n/a,"F,M",E,NA,n/a,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_ruthenus,sterlet sturgeon,0,n/a,n/a,F,E,NA,n/a,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_sinensis,chinese sturgeon,0,n/a,n/a,"F,M",E,NA,n/a,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_stellatus,stellate sturgeon,0,n/a,n/a,"F,M",E,NA,n/a,NA
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_sturio,baltic sturgeon,0,n/a,n/a,"F,M",E,A,n/a,P
Acipenseriformes,Acipenseridae,Acipenser,Acipenser_transmontanus,white sturgeon,0,n/a,n/a,"F,M",E,G,n/a,P
Acipenseriformes,Acipenseridae,Huso,Huso_dauricus,kaluga,0,n/a,n/a,"F,M",E,NA,n/a,NA
Acipenseriformes,Acipenseridae,Huso,Huso_huso,beluga,0,n/a,n/a,"F,M",E,NA,n/a,NA
Acipenseriformes,Polyodontidae,Polyodon,Polyodon_spathula,paddlefish,0,n/a,n/a,F,E,C,n/a,G
Albuliformes,Albulidae,Albula,Albula_vulpes,Bonefish,0,n/a,n/a,M,E,C,n/a,G
Albuliformes,Albulidae,Nemoossis,Pterothrissus_belloci,Longfin bonefish,0,n/a,n/a,M,E,C,n/a,G
Albuliformes,Albulidae,Pterothrissus,Pterothrissus_gissu,Japanese gissu,0,n/a,n/a,M,E,C,n/a,G
Amiiformes,Amiidae,Amia,Amia_calva,Bowfin,0,n/a,n/a,F,E,M,M,P
Anguilliformes,Anguillidae,Anguilla,Anguilla_anguilla,european eel,0,n/a,n/a,"F,M",E,A,n/a,G
Anguilliformes,Chlopsidae,Chilorhinus,Chilorhinus_platyrhynchus,flatnose xenocongrid eel,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Chlopsidae,Chilorhinus,Chilorhinus_suensonii,seagrass eel,0,n/a,n/a,M,E,NA,n/a,NA
Anguilliformes,Chlopsidae,Kaupichthys,Kaupichthys_hyoproroides,false moray,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Colocongridae,Coloconger,Coloconger_cadenati,,0,n/a,n/a,M,E,NA,NA,NA
Anguilliformes,Congridae,Acromycter,Acromycter_perturbator,,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Ariosoma,Ariosoma_anago,silvery conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Ariosoma,Ariosoma_marginatum,large-eye conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Ariosoma,Ariosoma_selenops,,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Bathycongrus retrotinctus,Bathycongrus_retrotinctus,blackedge conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Coloconger,Coloconger_meadi,,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Coloconger,Coloconger_raniceps,froghead eel,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Conger,Conger_conger,European conger,0,n/a,n/a,M,E,NA,NA,NA
Anguilliformes,Congridae,Conger,Conger_myriaster,Whitespotted conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Conger,Conger_oceanicus,American conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Congriscus,Congriscus_megastomus,,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Gnathophis,Gnathophis_habenatus,little conger eel,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Gnathophis,Gnathophis_heterognathos,,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Heteroconger,Heteroconger_longissimus,Brown garden eel,0,n/a,n/a,M,NA,NA,NA,P
Anguilliformes,Congridae,Paraconger,Paraconger_notialis,Guinean conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Pseudophichthys,Pseudophichthys_splendens,purplemouthed conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Rhynchoconger,Rhynchoconger_flavus,yellow conger,0,n/a,n/a,M,E,NA,NA,NA
Anguilliformes,Congridae,Rhynchoconger,Rhynchoconger_gracilior,whiptail conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Xenomystax,Xenomystax_atrarius,deepwater conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Congridae,Xenomystax,Xenomystax_congroides,bristletooth conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Derichthyidae,Derichthys,Derichthys_serpentinus,narrownecked oceanic eel,0,n/a,n/a,M,NA,NA,n/a,NA
Anguilliformes,Derichthyidae,Nessorhamphus,Nessorhamphus_ingolfianus,duckbill oceanic eel,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Derichthyidae,Nessorhamphus ,Nessorhamphus_danae,dana duckbill eel,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Heterenchelyidae,Pythonichthys,Pythonichthys_asodes,Pacific mud eel,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Muraenesocidae,Congresox,Congresox_talabon,yellow pike conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Muraenesocidae,Gavialiceps,Gavialiceps_taeniola,,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Muraenesocidae,Muraenesox,Muraenesox_cinereus,daggertooth pike conger,0,n/a,n/a,"F,M",E,NA,n/a,NA
Anguilliformes,Muraenesocidae,Oxyconger,Oxyconger_leptognathus,shorttail pike conger,0,n/a,n/a,M,NA,NA,NA,NA
Anguilliformes,Muraenidae,Echidna,Echidna_nebulosa,starry moray,0,n/a,n/a,M,E,NA,n/a,NA
Anguilliformes,Muraenidae,Gymnomuraena,Gymnomuraena_zebra,zebra moray,0,n/a,n/a,M,E,NA,n/a,NA
Anguilliformes,Muraenidae,Gymnothorax,Gymnothorax_buroensis,vagrant moray,0,n/a,n/a,M,NA,NA,NA,NA
