Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	Node01 - P(0,0)	Node01 - P(0,1)	Node01 - P(1,0)	Node01 - P(1,1)	
11000	-210.812881	99	0.681218	0.209832	3.538020	1.312630	1.449729	1.530821	1.565338	0.262803	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
12000	-215.687998	74	0.572327	0.442066	3.355088	0.907554	5.983846	2.406889	0.974459	0.704770	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
13000	-214.738412	58	0.644634	0.286521	4.491382	0.946410	4.515315	0.479055	0.853953	0.663306	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
14000	-211.643560	64	0.506435	0.162812	4.084429	0.745611	4.804816	0.124149	0.662839	0.593775	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
15000	-206.805103	67	0.648932	0.139166	1.982989	0.704212	3.176752	1.679242	1.034459	0.010799	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
16000	-208.466648	3	0.503722	0.107149	1.961139	0.640454	2.935971	1.421301	0.735848	0.142229	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
17000	-211.264227	49	0.622940	0.151231	2.952637	0.685411	0.206015	9.824028	0.919468	0.229885	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
18000	-210.655399	67	0.483288	0.110678	5.046286	0.788395	4.229600	0.924414	1.684552	0.658609	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
19000	-216.343756	21	0.781106	0.878366	3.672755	0.520980	20.717358	0.509916	1.207097	0.216533	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
20000	-214.777553	8	0.390752	0.260361	3.037625	0.955670	5.254580	4.516799	1.295598	0.583613	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
21000	-213.133511	99	0.323974	0.545742	3.610202	0.514190	12.174518	1.390711	1.473881	0.202940	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
22000	-211.337501	10	0.392783	0.210267	2.535017	0.558220	3.991564	4.549068	1.468087	0.166521	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
23000	-209.207341	33	0.471620	0.270072	1.632263	0.273901	6.347254	1.706733	1.559351	0.027135	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
24000	-212.893840	83	0.641628	0.136203	3.664980	0.446558	2.046576	4.724047	3.235230	0.160398	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
25000	-210.631215	3	0.664668	0.128288	2.045471	0.573855	0.926965	7.073456	1.598615	0.564677	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
26000	-205.762881	67	0.564898	0.245773	2.051161	0.129886	3.921387	3.715422	0.951748	0.081076	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
27000	-208.517902	67	0.441184	0.232258	3.077580	0.208404	0.685871	10.020162	1.258984	0.113063	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
28000	-208.073283	25	0.555224	0.129435	2.231711	0.352223	3.958368	3.419228	1.557492	0.100306	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	
