Iteration,Lh,Tree No,alpha1,beta1,alpha2,beta2,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)","Node01 - P(0,0)","Node01 - P(0,1)","Node01 - P(1,0)","Node01 - P(1,1)"
11000,-222.827679,88,0.313997,0.955961,0.319362,1.85345,1,0,0,0,1,0,0,0
12000,-219.225076,67,0.233387,1.402078,0.699906,1.828387,1,0,0,0,1,0,0,0
13000,-222.131821,67,0.277818,0.983116,0.956255,1.923345,1,0,0,0,1,0,0,0
14000,-223.577589,23,0.391842,0.885906,0.448112,1.32691,1,0,0,0,1,0,0,0
15000,-220.404656,67,0.129988,0.379834,0.444363,1.755071,1,0,0,0,1,0,0,0
16000,-221.078165,33,0.242639,1.552479,0.506971,0.830869,1,0,0,0,1,0,0,0
17000,-221.80494,99,0.241519,0.920528,0.492639,0.612716,1,0,0,0,1,0,0,0
18000,-220.526259,3,0.231521,2.083483,0.400698,1.462041,1,0,0,0,1,0,0,0
19000,-225.107421,3,0.148597,0.687222,1.108473,1.623955,1,0,0,0,1,0,0,0
20000,-220.132579,67,0.219402,0.51826,0.646374,2.210093,1,0,0,0,1,0,0,0
21000,-221.904502,92,0.230996,1.522696,0.794415,0.745321,1,0,0,0,1,0,0,0
22000,-220.351181,3,0.14648,1.578391,0.682612,1.645919,1,0,0,0,1,0,0,0
23000,-226.878768,97,0.403351,0.504679,0.564312,0.496041,1,0,0,0,1,0,0,0
24000,-221.258782,88,0.205521,1.592227,0.371,1.55435,1,0,0,0,1,0,0,0
25000,-220.033128,67,0.138461,2.308007,0.499619,1.374231,1,0,0,0,1,0,0,0
26000,-222.144883,99,0.260418,1.456458,0.657448,2.246138,1,0,0,0,1,0,0,0
27000,-222.577886,88,0.23852,0.96531,0.946398,1.503262,1,0,0,0,1,0,0,0
28000,-221.730073,48,0.233534,1.651813,0.515151,1.708036,1,0,0,0,1,0,0,0
29000,-222.422032,87,0.336572,1.49222,0.463314,1.279828,1,0,0,0,1,0,0,0
30000,-220.5434,67,0.246698,1.503429,0.724723,2.130327,1,0,0,0,1,0,0,0
