Iteration,Lh,Tree No,No Off Parmeters,No Off Zero,Model string,Dep / InDep,q12,q13,q21,q24,q31,q34,q42,q43,"Root - P(0,0)","Root - P(0,1)","Root - P(1,0)","Root - P(1,1)","Node01 - P(0,0)","Node01 - P(0,1)","Node01 - P(1,0)","Node01 - P(1,1)"
11000,-214.559205,48,2,1,'1 1 0 1 Z 1 1 1 ,D,0.233182,0.233182,4.765453,0.233182,0,0.233182,0.233182,0.233182,1,0,0,0,1,0,0,0
12000,-213.393276,49,2,0,'1 1 0 1 1 1 1 1 ,D,0.280472,0.280472,4.319485,0.280472,0.280472,0.280472,0.280472,0.280472,1,0,0,0,1,0,0,0
13000,-218.244865,87,2,2,'1 1 0 1 Z Z 1 1 ,D,0.343085,0.343085,2.668018,0.343085,0,0,0.343085,0.343085,1,0,0,0,1,0,0,0
14000,-213.591899,48,2,1,'0 0 1 0 1 Z 0 0 ,D,0.305625,0.305625,3.632391,0.305625,3.632391,0,0.305625,0.305625,1,0,0,0,1,0,0,0
15000,-212.329261,3,3,1,'0 0 1 0 2 Z 0 0 ,D,0.599621,0.599621,2.848494,0.599621,11.327364,0,0.599621,0.599621,1,0,0,0,1,0,0,0
16000,-215.356579,9,2,2,'0 0 1 0 Z Z 0 0 ,D,0.356401,0.356401,3.464678,0.356401,0,0,0.356401,0.356401,1,0,0,0,1,0,0,0
17000,-213.683228,49,2,1,'0 0 1 0 0 Z 0 0 ,D,0.285879,0.285879,3.936636,0.285879,0.285879,0,0.285879,0.285879,1,0,0,0,1,0,0,0
18000,-215.79473,48,2,0,'0 0 1 0 1 1 0 0 ,D,0.292714,0.292714,3.500924,0.292714,3.500924,3.500924,0.292714,0.292714,1,0,0,0,1,0,0,0
19000,-214.10635,99,3,0,'1 1 0 1 2 1 1 1 ,D,0.41688,0.41688,5.243457,0.41688,5.910339,0.41688,0.41688,0.41688,1,0,0,0,1,0,0,0
20000,-214.47463,49,2,2,'0 0 1 0 Z Z 0 0 ,D,0.343595,0.343595,4.242534,0.343595,0,0,0.343595,0.343595,1,0,0,0,1,0,0,0
21000,-214.372032,25,2,2,'1 1 0 1 Z Z 1 1 ,D,0.241967,0.241967,4.752309,0.241967,0,0,0.241967,0.241967,1,0,0,0,1,0,0,0
22000,-212.991021,72,2,1,'1 1 0 1 0 0 1 Z ,D,0.412097,0.412097,2.062284,0.412097,2.062284,2.062284,0.412097,0,1,0,0,0,1,0,0,0
23000,-212.328447,81,4,1,'1 1 0 1 2 0 3 Z ,D,0.16827,0.16827,4.766028,0.16827,0.617482,4.766028,1.320581,0,1,0,0,0,1,0,0,0
24000,-215.885029,72,4,1,'2 1 3 2 0 2 2 Z ,D,1.100758,0.180342,2.308924,1.100758,6.277287,1.100758,1.100758,0,1,0,0,0,1,0,0,0
25000,-211.688311,3,2,1,'0 0 1 0 1 Z 0 0 ,D,0.275715,0.275715,4.379023,0.275715,4.379023,0,0.275715,0.275715,1,0,0,0,1,0,0,0
26000,-215.72425,52,3,1,'1 1 0 1 Z 2 1 1 ,D,0.259668,0.259668,4.50074,0.259668,0,3.102087,0.259668,0.259668,1,0,0,0,1,0,0,0
27000,-209.115119,67,3,1,'2 1 0 2 0 Z 2 1 ,D,0.663546,0.266276,4.881187,0.663546,4.881187,0,0.663546,0.266276,1,0,0,0,1,0,0,0
28000,-217.751158,92,2,1,'1 1 0 1 1 Z 1 1 ,D,0.486578,0.486578,4.355974,0.486578,0.486578,0,0.486578,0.486578,1,0,0,0,1,0,0,0
29000,-216.671316,59,2,0,'0 0 1 0 1 0 0 0 ,D,0.322581,0.322581,4.380636,0.322581,4.380636,0.322581,0.322581,0.322581,1,0,0,0,1,0,0,0
30000,-212.416691,49,3,1,'0 0 1 0 2 Z 0 0 ,D,0.323153,0.323153,4.038685,0.323153,6.475165,0,0.323153,0.323153,1,0,0,0,1,0,0,0
31000,-216.996391,78,3,0,'0 0 2 0 1 0 0 0 ,D,0.349543,0.349543,4.62039,0.349543,13.237255,0.349543,0.349543,0.349543,1,0,0,0,1,0,0,0
